Positive Words;Negatif Words
sukses;gagal total
prestasi;mengecewakan
kemenangan;kalah telak
euforia;buruk sekali
semangat;tidak kompeten
bangga;tidak layak
gemilang;tidak berpengalaman
hebat;tidak profesional
luar biasa;kurang terampil
memuaskan;lemah
juara;loyo
apresiasi;lesu
antusias;tidak bertenaga
berjaya;tidak bersemangat
ceria;pesimis
dinamis;putus asa
efektif;frustrasi
efisien;kecewa berat
elegan;patah semangat
energik;hilang motivasi
fantastis;tidak berdaya
gemuruh;tidak mampu
harmonis;keterpurukan
impresif;kemunduran
inspiratif;ketertinggalan
jagoan;keterbelakangan
kompeten;tidak berkembang
lincah;stagnan
memikat;terbelakang
menang;mundur
menarik;menurun
mengagumkan;merosot
menjanjikan;hancur
optimis;bangkrut
profesional;runtuh
puas;lenyap
sehat;punah
semarak;gagal
seru;tidak berhasil
spektakuler;tidak tercapai
sportif;tidak terpenuhi
stabil;tidak terlaksana
terampil;batal
terbaik;terhenti
terkemuka;macet
terkesan;terhambat
terpadu;terlambat
tertib;lambat
tertinggi;lelet
unggul;tidak efektif
berprestasi;tidak efisien
produktif;boros
prestisius;mubazir
ramah;tidak produktif
solid;tidak optimal
sopan;tidak maksimal
subur;kerugian
terdepan;kehilangan
terhormat;kerusakan
terkenal;kebangkrutan
terpercaya;kesalahan
tersenyum;kekeliruan
teruji;kelalaian
unik;keteledoran
berdaya;kecelakaan
bersinar;musibah
bersemangat;bencana
bersih;malapetaka
beruntung;tragedi
energik;bencana alam
fleksibel;epidemi
kreatif;wabah
loyal;krisis
maksimal;resesi
mantap;depresi
menggembirakan;inflasi
menyenangkan;pengangguran
percaya diri;kemiskinan
positif;kelaparan
progresif;kekurangan
sempurna;kesengsaraan
super;penderitaan
penuh semangat;kematian
gembira;penipuan
bersahabat;kecurangan
berhasil;korupsi
maju;kolusi
menakjubkan;nepotisme
sensasional;penyalahgunaan
brilian;penyelewengan
tangguh;penggelapan
disiplin;kriminalitas
kokoh;kejahatan
bahagia;kekerasan
sejahtera;pembunuhan
damai;pencurian
meriah;perampokan
lancar;penipuan
rapi;pemerasan
terkoordinasi;penganiayaan
bersatu;penghinaan
bersinergi;pelecehan
tangguh;diskriminasi
berani;rasisme
tegas;intoleransi
aktif;fanatisme
mengesankan;radikalisme
menyegarkan;terorisme
terinspirasi;anarki
gagah;kerusuhan
terpuji;konflik
harmoni;pertikaian
sportivitas;perpecahan
kejutan;perselisihan
berkesan;perdebatan
bersaing;perang
berpengalaman;ketegangan
terlatih;kegelisahan
kondusif;kecemasan
kondisi prima;kekhawatiran
riuh;ketakutan
penuh warna;kepanikan
senang;depresi
terhibur;trauma
terpukau;stress
terharu;kesedihan
menawan;duka cita
terpikat;kesepian
terpesona;keputusasaan
terpenuhi;kemarahan
terlaksana;kebencian
terselenggara;iri hati
tertata;dendam
teratur;dengki
aman;sakit hati
nyaman;cemburu
tenteram;keegoisan
sejuk;kesombongan
hijau;keangkuhan
indah;ketidakadilan
asri;ketidakjujuran
rindang;ketidakpercayaan
segar;ketidakpastian
tenang;kebohongan
hoki;kemunafikan
rezeki;kepalsuan
berkah;penipuan
makmur;pengkhianatan
penuh cinta;pengingkaran
kasih sayang;pelanggaran
rukun;kecelakaan
kompak;cedera
erat;sakit
akur;penyakit
beriringan;wabah
bersama;epidemi
berkolaborasi;pandemi
sinergi;kematian
koperatif;kepunahan
setia;kehancuran
konsisten;kerusakan
komitmen;kerugian
tekun;kebangkrutan
ulet;keterpurukan
gigih;kesulitan
bergairah;kendala
inovatif;hambatan
solutif;gangguan
visioner;keterbatasan
modern;keterlambatan
terkini;penundaan
tren;pembatalan
populer;kegagalan
diminati;kekecewaan
dikenal;ketidakpuasan
favorit;ketidaksukaan
unggulan;ketidaksetujuan
nomor satu;ketidakpedulian
jawara;acuh tak acuh
kampiun;masa bodoh
pemenang;malas
andalan;ceroboh
jempolan;lalai
ahli;lengah
master;tidak disiplin
pionir;tidak patuh
pahlawan;melanggar aturan
legenda;pelanggaran
ikon;kejahatan
berdaya saing;kriminal
terpandang;pembangkangan
dihormati;pemberontakan
dipercaya;pengkhianatan
disegani;pengingkaran
multitalenta;penolakan
karismatik;pengabaian
visioner;pemutusan
berpengaruh;pemecatan
berintegritas;pengangguran
kredibel;pengusiran
inspirasi;penghinaan
motivasional;pelecehan
solider;diskriminasi
empatik;penindasan
simpatik;penganiayaan
humanis;ketidakadilan
peduli;ketidaksetaraan
dermawan;ketidakjelasan
altruistik;ketidakpastian
peka;ketidakseimbangan
santun;ketidakharmonisan
bijaksana;ketidakteraturan
arif;ketidakstabilan
visioner;ketidakamanan
strategis;ketidaknyamanan
taktis;kekacauan
diplomatis;kerusuhan
negosiator;kegaduhan
mediator;kebisingan
pemimpin;kotor
inovator;kumuh
kreator;berantakan
pembaharu;tidak tertib
revolusioner;tidak teratur
progresif;tidak rapi
dinamis;tidak bersih
adaptif;polusi
resilien;pencemaran
konsisten;kerusakan lingkungan
persisten;banjir
determinasi;longsor
integritas;gempa bumi
loyalitas;tsunami
patriotisme;gunung meletus
nasionalisme;kekeringan
kebersamaan;kebakaran hutan
gotong royong;bencana alam
solidaritas;musibah
persatuan;malapetaka
kesatuan;tragedi
kerukunan;kematian
toleransi;kepunahan
keberagaman;kehancuran
multikultural;keruntuhan
pluralisme;kehilangan
harmoni;kekurangan
keadilan;kesulitan
kesetaraan;keterbatasan
demokrasi ;keterpurukan
cemerlang;kegagalan total
memesona;kalah
lincah;gagal
brilian;kecewa
menonjol;buruk
sempurna;lemah
prima;kekurangan
istimewa;bermasalah
menawan;kritik
gemilang;terlambat
fantastis;tidak puas
super;mengecewakan
luar biasa;lambat
mantap jiwa;kurang
terhebat;salah
spektakuler;masalah
menakjubkan;kendala
gempita;gangguan
hebat sekali;konflik
paling baik;ragu
terampil;pesimis
profesional;ketidaknyamanan
berbakat;membosankan
ahli;monoton
unggul;lesu
pionir;letih
legenda;lelah
kampiun;jenuh
jawara;buntu
terdepan;terhenti
eksklusif;terhambat
superior;tidak efektif
jempolan;tidak efisien
terlaksana;tidak stabil
berkualitas;tidak konsisten
berkelas;tidak aman
keren abis;tidak nyaman
mengagumkan;tidak tertib
memukau;berantakan
gemuruh;kacau
mengesankan;rumit
memuaskan;sulit
menarik hati;berat
mencengangkan;sakit
terpukau;cedera
terpesona;cacat
terkagum;kurang baik
terharu;kurang maksimal
terhibur;tidak optimal
bahagia;tidak memuaskan
gembira;kekecewaan
riang;kekalahan
ceria;ketidakpuasan
senang;keterbatasan
penuh suka cita;kesalahan
euforia;kegagalan
pesta meriah;penurunan
bergembira;penundaan
bersuka ria;pembatalan
bahagia sekali;pengunduran
suka hati;kegaduhan
semangat;kebisingan
antusias;kelelahan
bergairah;keletihan
bersemangat;kelesuan
berapi-api;kekhawatiran
penuh energi;ketakutan
energetik;kekacauan
dinamis;ketidakpastian
progresif;kecemasan
inovatif;keterbatasan
kreatif;tidak cukup
visioner;tidak memadai
adaptif;tidak layak
responsif;tidak pantas
fleksibel;tidak cocok
solutif;tidak sesuai
inspiratif;tidak adil
kolaboratif;tidak seimbang
sinergis;tidak kompeten
harmonis;tidak profesional
kompak;tidak berpengalaman
solid;tidak terampil
terpadu;tidak disiplin
kooperatif;ceroboh
gotong royong;lalai
bersatu;lengah
erat;acuh
saling mendukung;masa bodoh
saling menghormati;tidak peduli
saling memahami;tidak bertanggung jawab
toleran;merugikan
akur;membahayakan
rukun;mengganggu
damai;menghambat
aman;menyulitkan
nyaman;menyusahkan
tenteram;menjengkelkan
kondusif;menyebalkan
tertib;menyakitkan
teratur;menyedihkan
lancar;mengkhawatirkan
stabil;menggelisahkan
konsisten;menakutkan
disiplin;menyeramkan
taat aturan;menyesatkan
tanggung jawab;menyimpang
kredibel;salah arah
terpercaya;salah paham
jujur;salah langkah
amanah;kesalahpahaman
setia;kerugian
loyal;kerusakan
integritas;keterlambatan
bermoral;kecelakaan
beretika;kemunduran
berbudi luhur;ketidakmampuan
bijaksana;keburukan
arif;kebohongan
berwawasan;kecurangan
cerdas;ketidakadilan
pintar;ketidakjujuran
genius;ketidaksesuaian
cendekia;kebosanan
pandai;kemarahan
terampil;kebencian
mahir;kecemburuan
cakap;kedengkian
kompeten;kepanikan
berpengalaman;kekerasan
terlatih;pertentangan
berprestasi;perselisihan
berjaya;perpecahan
berhasil;perdebatan
maju;perkelahian
berkembang;penindasan
modern;penipuan
mutakhir;penghinaan
terkini;pelecehan
aktual;penyelewengan
populer;korupsi
favorit;diskriminasi
terkenal;rasisme
ternama;intimidasi
terpandang;teror
prestisius;anarki
bergengsi;krisis
terhormat;resesi
dihormati;depresi
dipercaya;kemiskinan
dipuji;pengangguran
disukai;kelaparan
diminati;kekeringan
terpilih;bencana
terpuji;wabah
terbaik;epidemi
nomor satu;pandemi
andalan;kematian
kebanggaan;kehancuran
inspirasi;kepunahan
motivator;keterpurukan
teladan;keputusasaan
pahlawan;kejatuhan
ikon;kebangkrutan
karismatik;keterbelakangan
berpengaruh;ketertinggalan
visioner;kemandekan
inovator;stagnasi
kreator;degradasi
pelopor;dekadensi
pencetus;demotivasi
penggerak;disintegrasi
dinamis;disorientasi
aktif;disfungsional
berinisiatif;diskrepansi
proaktif;distorsi
produktif;disonansi
efektif;disrupsi
efisien;kekisruhan
optimal;keriuhan
maksimal;kerepotan
terpenuhi;kesulitan
tercapai;kesusahan
terwujud;kesengsaraan
terselesaikan;penderitaan
terlaksana;ketidakadilan
berhasil gemilang;penindasan
kemenangan;penyiksaan
juara;pemecatan
pemenang;penolakan
medali emas;pengucilan
prestasi tinggi;penghancuran
rekor baru;pembatalan
